labelValue	id	preferredName	targetName	userAction	localizationStatus	sourceStrategy	difficulty	systems	red	green	blue
91	calcarine_sulcus	Calcarine sulcus	Calcarine sulcus	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex	242	78	210
92	parieto_occipital_sulcus	Parieto-occipital sulcus	Parieto-occipital sulcus	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex	242	160	78
93	cingulate_sulcus	Cingulate sulcus	Cingulate sulcus	edit_or_replace_anchor	support_anchor_needs_edit	freesurfer_support_manual_refine	intermediate	cortex;limbic	78	207	242
94	anterior_commissure	Anterior commissure	Anterior commissure	fully_place_manually	manual_required	manual	advanced	white_matter;midline	102	242	78
95	posterior_commissure	Posterior commissure	Posterior commissure	fully_place_manually	manual_required	manual	advanced	white_matter;midline;brainstem	78	242	83
96	cisterna_magna	Cisterna magna	Cisterna magna	fully_place_manually	manual_required	manual	beginner	csf_spaces;cerebellum;brainstem	78	242	155
97	frontal_lobe	Frontal lobe	Frontal lobe	fully_place_manually	manual_required	manual	beginner	lobes;cortex	78	166	242
98	parietal_lobe	Parietal lobe	Parietal lobe	fully_place_manually	manual_required	manual	beginner	lobes;cortex	242	132	78
99	temporal_lobe	Temporal lobe	Temporal lobe	fully_place_manually	manual_required	manual	beginner	lobes;cortex	160	102	242
100	caudate_body	Caudate body	Caudate body	fully_place_manually	manual_required	manual	beginner	basal_ganglia;deep_gray	84	211	155
101	cerebellar_hemisphere	Cerebellar hemisphere	Cerebellar hemisphere	fully_place_manually	manual_required	manual	beginner	cerebellum	242	194	78
102	internal_auditory_canal	Internal auditory canal	Internal auditory canal	fully_place_manually	manual_required	manual	beginner	skull_base;cranial_nerves	242	98	122
103	subthalamic_region	Subthalamic region	Subthalamic region	fully_place_manually	manual_required	manual	beginner	deep_gray;basal_ganglia	118	217	218
104	habenula	Habenula	Habenula	fully_place_manually	manual_required	manual	beginner	midline;deep_gray	190	214	82
105	optic_nerve	Optic nerve	Optic nerve	fully_place_manually	manual_required	manual	beginner	cranial_nerves;skull_base;orbit	95	156	242
106	rostrum_of_the_corpus_callosum	Rostrum of the corpus callosum	Rostrum of the corpus callosum	fully_place_manually	manual_required	manual	beginner	white_matter;midline	242	116	95
107	corpus_callosum	Corpus callosum	Corpus callosum	generated_composite	composite_from_accepted_masks	accepted_composite	beginner	white_matter;midline	210	242	78
